 ,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
0-4 år,305600,309100,312700,314400,316100,312000,317600,320000,324400,329200,334600,334600,336300,335100,332000,327300,324500,320200,321400,317700,342100,348100,349800,350100,351000,340900,333600,328500,323500,316800,310900,305800,303800,299400,301400,300600,302100,304600,309800,313700,319600,325100,338000,354200,376200,402000,426700,438000,439200,429700,415800,397900,384800,378400,376100,373500,373200,370900,368300,367300,366800,367600,370800,378300,387700,397200,409300,413100,405200,394600
5-9 år,270400,276500,281800,285900,289600,294600,293800,298300,300800,302700,304800,309600,311800,315500,321000,324800,325800,327400,326400,322800,337300,334300,329200,327400,323800,335400,340500,341400,341600,345000,334300,327900,323800,319600,311900,308000,303900,301800,297000,297900,296700,298500,301800,306900,310800,318100,323500,336900,352100,373700,398000,422000,433200,436000,426300,412400,394500,380800,374100,371900,369500,371500,370500,368800,367800,368300,368600,371200,378200,387200
10-14 år,254900,254300,255200,256800,260400,265100,272500,275800,280300,284200,287900,287700,292400,294800,298200,299700,304900,307400,311100,316600,338500,339200,342100,341600,340400,334100,331400,326200,324200,318800,329600,335700,336700,337300,340600,332000,326100,322200,318200,310800,306800,302600,300700,295900,296800,294500,297500,300200,306100,310800,316400,321000,334400,350000,372400,396400,420200,430800,433200,423500,409800,392500,380800,374900,372700,370300,371700,370800,368900,367900
15-19 år,237100,240900,241700,243800,242800,243200,243000,244900,247500,251700,255000,261200,264200,268500,272600,279300,280200,286400,289500,293500,312500,318200,320600,323500,327300,332000,332600,334700,334300,332800,328300,326800,321100,320600,316300,325900,331900,334300,335200,339200,330200,324400,320800,316800,309100,301400,296400,294400,290600,291600,292200,295500,298400,304700,308400,314100,318100,331200,346800,369000,392900,416800,428100,430400,421400,409000,392500,380900,374800,372900
20-24 år,206500,208100,212600,215800,221100,224200,225900,226100,229200,227700,228300,228900,229700,230200,234800,241000,250300,255900,261500,266800,285400,287900,295100,297700,302800,304400,308200,309000,311300,315200,319500,324600,330500,331900,331000,326500,323800,317600,316800,313500,321400,328200,331000,332200,336000,324100,314300,308400,303200,297300,295700,290300,289100,286800,287700,285600,286800,288000,294800,300200,306000,312100,326600,342600,365100,387800,411900,424400,426000,419200
25-29 år,177600,184900,187800,192300,196600,200900,200400,202700,204200,208100,208300,211200,212700,215600,214700,216900,220200,223600,225800,232200,249500,257000,262200,269100,273500,279700,281300,285400,287000,290300,291900,298000,302800,309500,316900,322600,325700,329900,329600,328000,322000,319800,314000,313900,310100,320000,323000,322900,321800,323800,315900,307900,303300,299700,293800,289300,283500,280600,277500,278800,278200,282100,286700,293400,298100,304500,310800,324300,339000,361700
30-34 år,157900,157900,162000,164400,167200,171500,178800,181200,185800,189600,191900,192100,195200,197000,202100,205300,209400,211600,213900,214100,228400,231000,233400,235800,240500,245400,252400,257700,263300,266300,271500,274300,280600,283600,290100,293800,298500,302100,307500,314000,318300,321500,325900,326000,324200,321500,318200,312600,309900,306800,312200,316300,317500,317900,320200,311200,303600,298300,293800,288400,284800,281700,280700,277600,278600,278900,282300,286500,292500,297500
35-39 år,141500,143600,145400,146700,148300,151500,151800,156900,159300,162500,166300,173500,176400,181400,185700,189200,189800,193100,194300,199500,211700,215000,217900,222200,222100,224300,226600,228500,230700,235000,240600,248400,254200,261200,265300,270700,272700,278500,280900,286800,289700,294400,298100,303700,309900,314100,317900,320600,321000,319300,313800,310100,304600,303600,299800,308200,312500,313200,313200,315600,307500,301400,297900,293800,287900,284400,280900,279500,276300,278000
40-44 år,138700,138400,137200,136300,135000,134000,137400,139800,142200,144500,147800,147800,152500,154900,157900,161700,169000,171900,176600,180800,193000,193200,196300,198000,203300,206500,209800,212400,216400,216700,218300,220800,223800,226900,232300,238000,245200,250700,257200,261100,265900,268000,273800,276500,282100,285600,289200,293300,298000,303700,308400,311300,315100,315500,313500,309200,306000,300200,299100,295300,304300,309500,311100,311600,314100,305800,299600,296000,291700,286000
45-49 år,119600,122800,124500,126800,128200,130600,130800,130700,130500,130200,129100,132300,134700,137000,139400,142700,143000,147600,149800,152800,164600,172200,175000,180100,184100,187400,187600,190200,192000,196000,199700,203900,206800,211400,211900,213800,215800,218600,221700,226800,232200,239400,244900,251600,255300,259100,262800,267000,271400,275600,278200,282500,286100,291600,298200,302700,305700,309400,309600,307800,303600,300800,296000,295100,291900,299300,304600,306100,306600,309300
50-54 år,104900,105700,107800,108100,110700,111300,115400,117600,120600,122500,125100,125100,124700,124500,124000,123800,126900,129100,131600,133800,144000,144400,148900,151100,154200,157800,164900,167900,172500,176400,179600,180300,182900,184700,189400,193200,197100,199600,203900,204500,206200,208200,211300,214500,219300,225400,231600,237400,242500,247100,251200,253700,259100,261700,266800,270600,274800,278300,283700,290300,294400,297900,301800,302200,300300,296800,293900,289100,287900,284600
55-59 år,91400,91500,91600,93200,93600,96300,97400,99900,100500,103900,105000,108500,110600,113700,115400,118200,118100,117700,117400,117000,121700,124800,127200,129700,132000,135600,135900,139800,142000,145200,148800,155300,159200,163500,167600,170300,171000,173200,175000,179600,182900,186800,189400,193600,194300,196200,198800,201900,205600,210100,214800,221500,226600,232800,236800,240900,243300,248500,251000,255900,259900,264000,267300,272700,279000,282600,286100,289800,290300,288700
60-64 år,78400,78000,78600,79700,81200,81600,82400,82600,84600,85000,88200,89100,91400,92100,95200,95700,99100,100800,103900,105400,112400,112300,111700,111400,111500,111400,114300,116300,119000,120500,124100,124500,128000,130400,133700,137200,142800,146200,150200,154200,156600,157200,159700,161700,166000,170300,173200,176000,179000,181200,182500,185200,187900,191200,195700,201300,207600,212600,218400,222100,225200,228200,233100,235700,240300,244200,247600,250300,255500,261500
65-69 år,63300,65400,67100,66500,66300,67000,66800,67700,68800,70400,71200,71600,71800,73500,73800,76300,77000,78800,79600,82400,87100,90200,91400,93900,95200,97700,97700,97700,97400,97800,97400,99800,101600,103900,105800,108300,108700,111600,113800,116700,119500,124900,128300,132000,135600,137800,139500,141900,144900,148400,151700,155100,157700,161400,162400,164200,167000,169300,172400,176900,182200,187500,192100,197000,199700,202900,205700,209900,212300,216600
70-74 år,45700,44800,44600,46100,47800,49400,51300,52200,52100,52000,53300,53300,54000,54900,56300,56200,56500,56500,58400,58700,64200,64900,66300,66800,69200,69500,72200,73200,75300,76300,78300,78300,78200,77800,77800,77900,79900,81100,83000,84400,86200,86700,89900,91900,94400,97900,101200,104800,108800,112000,114100,115600,117800,120000,123900,127300,130400,132500,135800,136700,138100,140900,142800,145700,149300,153700,157400,161500,165900,168300
75-79 år,32300,32600,31900,31600,31000,30700,30600,30500,31500,32700,34600,35800,36200,36200,36000,36300,36000,36500,37700,38800,41200,41700,41400,42500,42700,44500,44800,45900,46500,47800,49000,50200,50500,52000,52800,53800,53400,53300,53400,53600,53600,55100,56400,58200,59500,61600,63400,64800,66800,68800,71400,74800,77200,79700,82000,84000,85600,87500,89300,92700,95100,97600,99200,101500,102500,103400,105400,107200,110100,113700
80-84 år,15600,16100,16900,17100,17400,17700,17700,17200,16900,16600,17000,16800,16700,17400,18200,18600,18900,18900,19400,19500,21200,21300,21400,21800,22300,22400,22700,22500,23100,23200,24400,24400,25000,25500,26500,26600,27200,27500,28200,28400,28700,28600,28900,29400,29800,30600,31700,32600,34300,35300,36200,36900,38600,39600,41000,42900,45300,46800,48500,49900,51300,52400,53600,54700,56700,58600,59700,61200,63100,64500
85- år,5900,6100,6400,6700,7000,7300,7600,7900,8000,8300,8700,8900,8800,8600,8500,8400,8100,7900,8800,8900,9700,10000,9800,9800,9800,10200,10200,10000,10400,10500,10700,10700,10800,11300,11600,11900,11900,12100,12500,12900,12600,12700,13000,13700,13900,14800,14600,14700,15500,16300,16900,17700,18000,18600,19000,20200,20900,21800,22400,23200,24100,25300,26400,27300,28300,29300,29800,31400,32700,34800
